Mongo_id,Sku,Name,Price,Host,Brand,Currency,Category,Url,Discount,Discount_Percent,Availability,Category,Color,Washing_machine_type,Washing_machine_capacity,Washing_machine_model,Dryer_model,Refrigerator_model,Phone_model,Cooktop_model,Storage,Operating_system,Washing_program,Control_panel,Cooktop_size,Stove_type,Ignition,No_of_burners,Cooktop_type,Glass_stove_cover,Saving_energy_or_water,Control_panel,Special_features,No_of_doors,Refrigeration_and_cooling_technology,Shipping_time,Shipping_fees,Temperature_control,Display,No_of_drawers,Type_of_thaw,Freezer_location,Capacity_in_feet,Refrigerator_type,Semiautomatic,Product_emi_plan,Engine_displacement,Motorcycle_type,Helmet_type,Certification,Seller
"682b2858e635c648ff03f414","660,582","Refrigerador Mabe Top Mount 10 Pies Negro RMA250PVMRP0","12,499.0","Coppel Mx","Mabe","peso","Inicio > Línea Blanca > Refrigeradores y congeladores > Refrigeradores","https://www.coppel.com/refrigerador-mabe-top-mount-10-pies-negro-rma250pvmrp0-pm-6605823","3,700.0","22.8409157","false","IN > Electronics > Kitchen Appliances > Refrigerators","black","","","","","rma250pvmrp0","","","","","","manual","","","","","","","yes","manual","","2","","*Dependerá del domicilio de entrega Recíbelo entre 2 y 7 días hábiles","Envío gratis*","","","1","","top","10 feet","top mount","","Desde $492 quincenales 11791 pesos en 24 quincenas ( $11,791 en 24 quincenas* )","","","","","Coppel"
"682eafa32441b2e0540d5bda","660,922","Refrigerador Samsung French Door 32 Pies Black Caviar RF32CG5N10B1EM","38,999.0","Coppel Mx","Samsung","peso","Inicio > Línea Blanca > Refrigeradores y congeladores > Refrigeradores","https://www.coppel.com/refrigerador-samsung-french-door-32-pies-black-caviar-rf32cg5n10b1em-pm-6609223","14,500.0","27.1033096","false","IN > Electronics > Kitchen Appliances > Refrigerators","black","","","","","rf32cg5n10b1em","","","","","","digital","","","","","","","yes","digital","","2","smart inverter","*Dependerá del domicilio de entrega Recíbelo entre 2 y 7 días hábiles","Envío gratis*","","","4","automatic","bottom","32 feet","french door","","Desde $1,369 quincenales 32829 pesos en 24 quincenas ( $32,829 en 24 quincenas* )","","","","","Coppel"
"6835b88d6df69ea36b02853e","74,381,197","Refrigerador Mabe Home Energy Saver 360 Lts Grafito RME360PVMRM0","15,990.0","Coppel Mx","Mabe","peso","Inicio > Línea Blanca > Refrigeradores y congeladores > Refrigeradores","https://www.coppel.com/refrigerador-mabe-home-energy-saver-360-lts-grafito-rme360pvmrm0-mkp-74381197","3,531.0","18.088213","false","IN > Electronics > Kitchen Appliances > Refrigerators","grey","","","","","rme360pvmrm0","","","","","","","","","","","","","yes","","","","multi air flow","*Dependerá del domicilio de entrega Recíbelo entre 3 y 10 días hábiles","Envío gratis*","","","","","","12.71 cubic feet","","","Desde $753 quincenales 18066 pesos en 24 quincenas ( $18,066 en 24 quincenas* )","","","","","Bomssa"
"682eafe72441b2e0540d5c0b","665,118","Refrigerador Midea Side by Side 20 Pies Plateado MDRS710FGM46","26,499.0","Coppel Mx","Midea","peso","Inicio > Línea Blanca > Refrigeradores y congeladores > Refrigeradores","https://www.coppel.com/pdp/refrigerador-midea-side-by-side-20-pies-plateado-mdrs710fgm46-pm-6651183","8,500.0","24.2864075","false","IN > Electronics > Kitchen Appliances > Refrigerators","silver","","","","","mdrs710fgm46","","","","","","digital","","","","","","","yes","digital","","2","inverter","*Dependerá del domicilio de entrega Recíbelo entre 2 y 7 días hábiles","Envío gratis*","","","4","automatic","side","20 feet","side-by-side","","Desde $1,006 quincenales 24119 pesos en 24 quincenas ( $24,119 en 24 quincenas* )","","","","","Coppel"
"682eb0c12441b2e0540d5cb7","649,571","Refrigerador LG Top Mount 20 Pies Plateado LT57BPSX","19,799.0","Coppel Mx","Lg","peso","Inicio > Línea Blanca > Refrigeradores y congeladores > Refrigeradores","https://www.coppel.com/refrigerador-lg-top-mount-20-pies-plata-lt57bpsx-pm-6495713","4,900.0","19.8388596","false","IN > Electronics > Kitchen Appliances > Refrigerators","silver","","","","","lt57bpsx.astfmxm","","","","","","digital","","","","","","","yes","digital","","2","inverter","*Dependerá del domicilio de entrega Recíbelo entre 2 y 7 días hábiles","Envío gratis*","","","2","automatic","top","20 feet","top mount","","Desde $833 quincenales 19965 pesos en 24 quincenas ( $19,965 en 24 quincenas* )","","","","","Coppel"
"682eb13d2441b2e0540d5d22","74,381,248","Refrigerador Mabe Rma300fxmrm0 11'' 300 L Inox Mate Full Grip Home Energy Saver","15,999.0","Coppel Mx","Mabe","peso","Inicio > Línea Blanca > Refrigeradores y congeladores > Refrigeradores","https://www.coppel.com/refrigerador-mabe-rma300fxmrm0-11-300-l-inox-mate-full-grip-home-energy-saver-mkp-74381248","1,009.0","5.93250227","false","IN > Electronics > Kitchen Appliances > Refrigerators","grey","","","","","rma300fxmrm0","","","","","","","","","","","","","yes","","","","multi air flow","*Dependerá del domicilio de entrega Recíbelo entre 3 y 10 días hábiles","Envío gratis*","","","","","","10.59 cubic feet","","","Desde $906 quincenales 21736 pesos en 24 quincenas ( $21,736 en 24 quincenas* )","","","","","Mueblerias Portillo SA de CV"
"682b27d832edbddab3042ce3","642,691","Refrigerador Whirlpool Top Mount 14 Pies Gris","14,799.0","Coppel Mx","Whirlpool","peso","Inicio > Línea Blanca > Refrigeradores y congeladores > Refrigeradores","https://www.coppel.com/refrigerador-whirlpool-top-mount-14-pies-gris-pm-6426913","2,800.0","15.9099951","false","IN > Electronics > Kitchen Appliances > Refrigerators","grey","","","","","wt1433k","","","","","","manual","","","","","","","yes","manual","","2","","*Dependerá del domicilio de entrega Recíbelo entre 2 y 7 días hábiles","Envío gratis*","","","1","automatic","top","14 feet","top mount","","Desde $671 quincenales 16079 pesos en 24 quincenas ( $16,079 en 24 quincenas* )","","","","","Coppel"
"682eb0c42441b2e0540d5cbb","665,381","Refrigerador Aspix Top Mount 8 Pies Plateado AX24RTM8WNE","8,299.0","Coppel Mx","Aspix","peso","Inicio > Línea Blanca > Refrigeradores y congeladores > Refrigeradores","https://www.coppel.com/pdp/refrigerador-aspix-top-mount-8-pies-plateado-ax24rtm8wne-pm-6653813","1,300.0","13.5430775","false","IN > Electronics > Kitchen Appliances > Refrigerators","silver","","","","","ax24rtm8wne","","","","","","manual","","","","","","","yes","manual","","2","","*Dependerá del domicilio de entrega Recíbelo entre 2 y 7 días hábiles","Envío gratis*","","","1","manual","top","8 feet","top mount","","Desde $392 quincenales 9379 pesos en 24 quincenas ( $9,379 en 24 quincenas* )","","","","","Coppel"
"685c8c246c25f0db980ef1dd","74,381,310","Refrigerador Mabe Automático 15 Pies 400 L Inox Mate","25,299.0","Coppel Mx","Mabe","peso","Inicio > Línea Blanca > Refrigeradores y congeladores > Refrigeradores","https://www.coppel.com/refrigerador-mabe-automatico-15-pies-400-l-inox-mate-mkp-74381310","7,600.0","23.1010056","false","IN > Electronics > Kitchen Appliances > Refrigerators","grey","","","","","","","","","","","","","","","","","","yes","","","","multi air flow","*Dependerá del domicilio de entrega Recíbelo entre 3 y 10 días hábiles","Envío gratis*","","","","","","15 feet","","","Desde $1,070 quincenales 25664 pesos en 24 quincenas ( $25,664 en 24 quincenas* )","","","","","Bomssa"
"682eb0bf2441b2e0540d5cb6","624,667","Refrigerador Hisense Una Puerta 7 Pies Gris RR63D6WGX","8,299.0","Coppel Mx","Hisense","peso","Inicio > Línea Blanca > Refrigeradores y congeladores > Refrigeradores","https://www.coppel.com/pdp/refrigerador-hisense-una-puerta-7-pies-gris-rr63d6wgx-pm-6246673","3,100.0","27.1953678","false","IN > Electronics > Kitchen Appliances > Refrigerators","grey","","","","","rr63d6wgx","","","","","","manual","","","","","","","yes","manual","","1","","*Dependerá del domicilio de entrega Recíbelo entre 2 y 7 días hábiles","Envío gratis*","","","1","","top","7 feet","","yes","Desde $291 quincenales 6967 pesos en 24 quincenas ( $6,967 en 24 quincenas* )","","","","","Coppel"
