Sku_id,Name,Category,Brand,Url,Price,Discount,Out,Status,Difference
MKP-74381260,Refrigerador Tcl 6 Pies Cúbicos Con Dispensador De Agua TSD60BW-NEGRO,IN > Electronics > Kitchen Appliances > Refrigerators,tcl,https://www.coppel.com/refrigerador-tcl-6-pies-cubicos-con-dispensador-de-agua-tsd60bw-negro-mkp-74381260,4599.0,1150.0,true,Out Of Stock,0
MKP-74381190,Refrigerador Aurus Aru07wb 7p3 Dark Silver C/despachador,IN > Electronics > Kitchen Appliances > Refrigerators,aurus,https://www.coppel.com/refrigerador-aurus-aru07wb-7p3-dark-silver-c-despachador-mkp-74381190,5109.0,2190.0,true,Out Of Stock,0
632724,Refrigerador Hisense RR63D6WWX Una Puerta 7 Pies Blanco,IN > Electronics > Kitchen Appliances > Refrigerators,hisense,https://www.coppel.com/refrigerador-hisense-rr63d6wwx-una-puerta-7-pies-blanco-pm-6327243,5499.0,2500.0,true,Out Of Stock,0
625711,Refrigerador Hisense Una Puerta RR63D6WBX 7 Pies Negro,IN > Electronics > Kitchen Appliances > Refrigerators,hisense,https://www.coppel.com/refrigerador-hisense-rr63d6wbx-una-puerta-7-pies-negro-pm-6257113,5599.0,3100.0,true,Out Of Stock,0
662933,Refrigerador Aspix Top Mount 7.3 Pies Negro RCD73NA,IN > Electronics > Kitchen Appliances > Refrigerators,aspix,https://www.coppel.com/refrigerador-aspix-top-mount-7-3-pies-negro-rcd73na-pm-6629333,5799.0,2900.0,true,Out Of Stock,0
"",Refrigerador Aspix Una Puerta 7 Pies Plateado RSDS7PA,IN > Electronics > Kitchen Appliances > Refrigerators,aspix,https://www.coppel.com/refrigerador-aspix-7-pies-plateado-rsds7pa-pm-6628013,6999.0,2200.0,false,No Competitor,0
MKP-74381189,Refrigerador Aurus Modelo Aru07ws 7p3 Acero C/despachador,IN > Electronics > Kitchen Appliances > Refrigerators,modelo,https://www.coppel.com/refrigerador-aurus-modelo-aru07ws-7p3-acero-c-despachador-mkp-74381189,7199.0,0.0,true,Out Of Stock,0
"",Refrigerador Aspix Una Puerta 7 Pies Negro RSDN7PA,IN > Electronics > Kitchen Appliances > Refrigerators,aspix,https://www.coppel.com/refrigerador-aspix-7-pies-negro-rsdn7pa-pm-6629513,7199.0,2400.0,false,No Competitor,0
74381201,Refrigerador Hamilton Beach Top Mount 8 Pies Plata HBR80TS1E,IN > Electronics > Kitchen Appliances > Refrigerators,hamilton beach,https://www.coppel.com/refrigerador-hamilton-beach-hbr80ts1e-top-mount-8-pies-plata-mkp-74381201,7299.0,600.0,false,No Competitor,0
"",Refrigerador Aspix Una Puerta RSDS7PA 7 Pies Blanco,IN > Electronics > Kitchen Appliances > Refrigerators,aspix,https://www.coppel.com/pdp/refrigerador-aspix-una-puerta-rsds7pa-7-pies-blanco-pm-6639133,7399.0,2900.0,false,No Competitor,0
74381163,Refrigerador Midea Cool Direct Top Mount Low Frost 8 Pies Gris MDRT210CCNLS,IN > Electronics > Kitchen Appliances > Refrigerators,midea,https://www.coppel.com/refrigerador-midea-cool-direct-top-mount-low-frost-8-pies-cubicos-mkp-74381163,7699.0,1300.0,false,No Competitor,0
MKP-74381181,Refrigerador Prime Rpr90-s 9p C/ Desp Top Mounted Silver,IN > Electronics > Kitchen Appliances > Refrigerators,prime,https://www.coppel.com/refrigerador-prime-rpr90-s-9p-c-desp-top-mounted-silver-mkp-74381181,7899.0,2100.0,true,Out Of Stock,0
